,item_id,labels,en,es-CO,de,fr
332,vocab-item-036,vocab,latch,latch,latch,loquet
333,vocab-item-037,vocab,locker,locker,locker,verrou
334,vocab-item-038,vocab,lollipop,lollipop,lollipop,lollipop
335,vocab-item-039,vocab,map,map,map,carte
336,vocab-item-040,vocab,marshmallow,marshmallow,marshmallow,marshmallow
337,vocab-item-041,vocab,net,net,net,net
338,vocab-item-042,vocab,oil,oil,oil,huile
339,vocab-item-043,vocab,omelet,omelet,omelet,omelette
340,vocab-item-044,vocab,pie,pie,pie,tarte
341,vocab-item-045,vocab,pistachio,pistachio,pistachio,pistachio
342,vocab-item-046,vocab,pitcher,pitcher,pitcher,pichet
343,vocab-item-047,vocab,potato,potato,potato,pomme de terre
344,vocab-item-048,vocab,prism,prism,prism,prisme
345,vocab-item-049,vocab,puddle,puddle,puddle,flaque
346,vocab-item-050,vocab,pump,pump,pump,Pompe
347,vocab-item-051,vocab,rice,rice,rice,riz
348,vocab-item-052,vocab,saddle,saddle,saddle,selle
349,vocab-item-053,vocab,sandbag,sandbag,sandbag,sac de sable
350,vocab-item-054,vocab,scaffolding,scaffolding,scaffolding,échafaudage
351,vocab-item-055,vocab,scoop,scoop,scoop,scoop
352,vocab-item-056,vocab,seagull,seagull,seagull,seagull
353,vocab-item-057,vocab,ship,ship,ship,expédition
354,vocab-item-058,vocab,shower,shower,shower,douche
355,vocab-item-059,vocab,silverware,silverware,silverware,argenterie
356,vocab-item-060,vocab,sink,sink,sink,évier
357,vocab-item-061,vocab,ski,ski,ski,ski
358,vocab-item-062,vocab,sloth,sloth,sloth,paresseux
359,vocab-item-063,vocab,snail,snail,snail,escargot
360,vocab-item-064,vocab,sorbet,sorbet,sorbet,sorbet
361,vocab-item-065,vocab,spatula,spatula,spatula,spatula
362,vocab-item-066,vocab,sprinkler,sprinkler,sprinkler,sprinkler
363,vocab-item-067,vocab,squash,squash,squash,écraser
364,vocab-item-068,vocab,squirrel,squirrel,squirrel,écureuil
365,vocab-item-069,vocab,stew,stew,stew,ragoût
366,vocab-item-070,vocab,stretcher,stretcher,stretcher,civière
367,vocab-item-071,vocab,stump,stump,stump,souche
368,vocab-item-072,vocab,sunflower,sunflower,sunflower,tournesol
369,vocab-item-073,vocab,swordfish,swordfish,swordfish,espadon
370,vocab-item-074,vocab,tapestry,tapestry,tapestry,tapisserie
371,vocab-item-075,vocab,teabag,teabag,teabag,teabag
372,vocab-item-076,vocab,telescope,telescope,telescope,télescope
373,vocab-item-077,vocab,thermos,thermos,thermos,thermos
374,vocab-item-078,vocab,treasure,treasure,treasure,trésor
375,vocab-item-079,vocab,trumpet,trumpet,trumpet,trompette
376,vocab-item-080,vocab,tulip,tulip,tulip,tulip
377,vocab-item-081,vocab,turbine,turbine,turbine,turbine
378,vocab-item-082,vocab,turkey,turkey,turkey,dinde
379,vocab-item-083,vocab,turtle,turtle,turtle,tortue
380,vocab-item-084,vocab,typewriter,typewriter,typewriter,écrivain
381,vocab-item-085,vocab,watermelon,watermelon,watermelon,pastèque
382,vocab-item-086,vocab,waterwheel,waterwheel,waterwheel,roue à eau
383,vocab-item-087,vocab,ant,ant,ant,ant
384,vocab-item-088,vocab,ball,ball,ball,balle
385,vocab-item-089,vocab,bear,bear,bear,ours
386,vocab-item-090,vocab,duck,duck,duck,canard
387,vocab-item-091,vocab,fork,fork,fork,fork
388,vocab-item-092,vocab,kitten,kitten,kitten,chaton
389,vocab-item-093,vocab,knee,knee,knee,genoux
390,vocab-item-094,vocab,milkshake,milkshake,milkshake,milkshake
391,vocab-item-095,vocab,skin,skin,skin,peau
392,vocab-item-096,vocab,wall,wall,wall,mur
393,vocab-item-097,vocab,wheel,wheel,wheel,roue
394,vocab-item-098,vocab,farm,farm,farm,ferme
395,vocab-item-099,vocab,juggling,malabarismo,juggling,jonglerie
396,vocab-item-100,vocab,dressing,dressing,dressing,pansement
397,vocab-item-101,vocab,roof,roof,roof,toit
398,vocab-item-102,vocab,peeking,espiando,peeking,aperçu
399,vocab-item-103,vocab,ruler,ruler,ruler,Règle
400,vocab-item-104,vocab,tunnel,tunnel,tunnel,tunnel
401,vocab-item-105,vocab,envelope,envelope,envelope,Enveloppe
402,vocab-item-106,vocab,diamond,diamond,diamond,diamant
403,vocab-item-107,vocab,calendar,calendar,calendar,Calendrier
404,vocab-item-108,vocab,panda,panda,panda,panda
405,vocab-item-109,vocab,arrow,arrow,arrow,flèche
406,vocab-item-110,vocab,picking,cosecha,picking,cueillette
407,vocab-item-111,vocab,dripping,goteo,dripping,gouttant
408,vocab-item-112,vocab,knight,knight,knight,chevalier
409,vocab-item-113,vocab,delivering,entregando,delivering,livraison
410,vocab-item-114,vocab,dentist,dentist,dentist,dentiste
411,vocab-item-115,vocab,claw,claw,claw,griffe
412,vocab-item-116,vocab,uniform,uniform,uniform,uniforme
413,vocab-item-117,vocab,furry,peludo,furry,fourrure
414,vocab-item-118,vocab,cormorant,cormorant,cormorant,cormorant
415,vocab-item-119,vocab,fetch,traer,fetch,extraire
416,vocab-item-120,vocab,arcade,arcade,arcade,arcade
417,vocab-item-121,vocab,artifact,artifact,artifact,artefact
418,vocab-item-122,vocab,aversion,aversión,aversion,aversion
419,vocab-item-123,vocab,beret,beret,beret,béret
420,vocab-item-124,vocab,applaud,aplaudir,applaud,applaudir
421,vocab-item-125,vocab,timid,tímido,timid,timide
422,vocab-item-126,vocab,camp,camp,camp,campement
423,vocab-item-127,vocab,tumble,caída,tumble,chute
424,vocab-item-128,vocab,concentric,concéntrico,concentric,concentrique
425,vocab-item-129,vocab,confectionery,confectionery,confectionery,confiserie
426,vocab-item-130,vocab,couturier,couturier,couturier,couturier
427,vocab-item-131,vocab,degression,disminución,degression,dégression
428,vocab-item-132,vocab,divan,divan,divan,divan
429,vocab-item-133,vocab,wetland,wetland,wetland,zones humides
430,vocab-item-134,vocab,baywindow,baywindow,baywindow,fenêtrage
431,vocab-item-135,vocab,aesthete,aesthete,aesthete,aesthete
432,vocab-item-136,vocab,ecstatic,extático,ecstatic,ecstatique
433,vocab-item-137,vocab,rickety,desvencijado,rickety,rickety
434,vocab-item-138,vocab,gourmet,gourmet,gourmet,gourmet
435,vocab-item-139,vocab,gesticulate,gesticular,gesticulate,gesticuler
436,vocab-item-140,vocab,facade,facade,facade,façade
437,vocab-item-141,vocab,slope,slope,slope,pente
438,vocab-item-142,vocab,habit,habit,habit,Habitude
439,vocab-item-143,vocab,intersection,intersection,intersection,intersection
440,vocab-item-144,vocab,irrigation,irrigation,irrigation,irrigation
441,vocab-item-145,vocab,kazoo,kazoo,kazoo,kazoo
442,vocab-item-146,vocab,chat,conversar,chat,tchat
443,vocab-item-147,vocab,colony,colony,colony,colonie
444,vocab-item-148,vocab,preserve,preservar,preserve,Préserver
445,vocab-item-149,vocab,awning,awning,awning,awning
446,vocab-item-150,vocab,mammalogy,mamalogía,mammalogy,mammifère
447,vocab-item-151,vocab,metronome,metronome,metronome,metronome
448,vocab-item-152,vocab,paleontologist,paleontologist,paleontologist,paléontologue
449,vocab-item-153,vocab,percussion,percussion,percussion,percussion
450,vocab-item-154,vocab,posterior,posterior,posterior,postérieur
451,vocab-item-155,vocab,precarious,precario,precarious,précaire
452,vocab-item-156,vocab,arbor,arbor,arbor,arbore
453,vocab-item-157,vocab,resuscitation,resucitación,resuscitation,réanimation
454,vocab-item-158,vocab,rosette,rosette,rosette,Rosette
455,vocab-item-159,vocab,saffron,saffron,saffron,saffron
456,vocab-item-160,vocab,mischievous,travieso,mischievous,mischievous
457,vocab-item-161,vocab,skimmer,skimmer,skimmer,skimmer
458,vocab-item-162,vocab,sedentary,sedentario,sedentary,sédentaire
459,vocab-item-163,vocab,suede,suede,suede,suede
460,vocab-item-164,vocab,tourniquet,tourniquet,tourniquet,tourniquet
461,vocab-item-165,vocab,triad,triad,triad,triad
462,vocab-item-166,vocab,dredging,dragado,dredging,dredging
463,vocab-item-167,vocab,urban,urbano,urban,Urbain
464,vocab-item-168,vocab,steam,steam,steam,vapeur
465,vocab-item-169,vocab,vertebra,vertebra,vertebra,vertebra
466,vocab-item-170,vocab,bandage,bandage,bandage,bandage
467,vocab-instruct-1,vocab,"In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","En este juego, escucharás palabras y observarás diferentes imágenes. ¡Tu tarea es elegir la imagen que coincida con la palabra!","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","Dans ce jeu, vous allez écouter les mots et regarder différentes images. Ton travail est de choisir la photo qui correspond au mot !"
468,vocab-practice-1,vocab,"You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","A continuación, verás algunas imágenes, por ejemplo, una imagen de una manzana y una imagen de una zanahoria. Luego, escucharás la palabra que identifica una de las imágenes. ¡Asegúrate de elegir la imagen que coincida con la palabra!","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","Vous allez voir des images différentes, par exemple une photo d'une pomme et une photo d'une carotte. Ensuite, tu entendras un mot pour l'une des photos. Assure-toi de choisir l'image qui correspond au mot !"
469,vocab-instruct-2,vocab,"Some words are hard, and that's okay. If you're not sure, just give your best guess!","Algunas palabras son difíciles, pero no te preocupes, si tienes dudas, ¡haz tu mejor intento!","Some words are hard, and that's okay. If you're not sure, just give your best guess!","« Certains mots sont durs, et c'est normal. Si vous n'êtes pas sûr, il suffit de donner votre meilleure supposition! »"
470,vocab-instruct-3,vocab,"If you need to hear the word again, press the speaker button.","Si necesitas escuchar la palabra otra vez, presiona el botón del altavoz.","If you need to hear the word again, press the speaker button.","Si vous devez entendre le mot à nouveau, appuyez sur le bouton du haut-parleur."
471,01_intro,vocab,"Welcome to a new planet we just discovered with friendly aliens called Zorps. Zorps are interested in learning more about the kinds of things we have on Earth. As you help them learn, they're going to take us on a tour of their planet. Can you help? Which alien do you want to journey with? Choose one alien for your journey.","Welcome to a new planet we just discovered with friendly aliens called Zorps. Zorps are interested in learning more about the kinds of things we have on Earth. As you help them learn, they're going to take us on a tour of their planet. Can you help? Which alien do you want to journey with? Choose one alien for your journey.","Welcome to a new planet we just discovered with friendly aliens called Zorps. Zorps are interested in learning more about the kinds of things we have on Earth. As you help them learn, they're going to take us on a tour of their planet. Can you help? Which alien do you want to journey with? Choose one alien for your journey.","Bienvenue sur une nouvelle planète que nous venons de découvrir avec des extraterrestres amicaux appelés Zorps. Les Zorps sont intéressés à en apprendre davantage sur le genre de choses que nous avons sur Terre. Au fur et à mesure que vous les aidez à apprendre, ils vont nous faire visiter leur planète. Pouvez-vous nous aider ? Avec quel extraterrestre voulez-vous voyager ? Choisissez un extraterrestre pour votre voyage."
