old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_19_elements_0_elements_0_title,pages_16_elements_2_elements_0_title,"Took away privileges, forbade something my child liked, or did not allow him/her to leave the house.","Took away privileges, forbade something my child liked, or did not allow him/her to leave the house.",missing key,"Took away privileges, forbade something my child liked, or did not allow him/her to leave the house.",missing key,"Took away privileges, forbade something my child liked, or did not allow him/her to leave the house.","Sie haben Privilegien entzogen, ihrem Kind etwas verboten, was es mochte, oder ihm nicht erlaubt, das Haus zu verlassen.","Sie haben Privilegien entzogen, ihrem Kind etwas verboten, oder ihm nicht erlaubt, oder ihm nicht erlaubt, das Haus zu verlassen.",missing key,missing key,"Le quitó privilegios, le prohibió algo que le gusta al niño(a) o no le permite salir de casa",missing key,missing key,"Le quitó privilegios, le prohibió algo que le gusta al niño(a) o no le permite salir de casa"
pages_6_elements_0_labelFalse,pages_16_elements_2_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_2_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_19_elements_0_elements_1_title,pages_16_elements_2_elements_1_title,Explained why something (the behavior) was wrong.,Explained why something (the behavior) was wrong.,missing key,Explained why something (the behavior) was wrong.,missing key,Explained why something (the behavior) was wrong.,"Sie erklärten ihm, warum etwas (das Verhalten) falsch war.","Sie erklärten ihm, warum etwas (das Verhalten) falsch war.",missing key,missing key,Explicó por qué algo (el comportamiento) estaba mal.,missing key,missing key,Explicó por qué algo (el comportamiento) estaba mal.
pages_6_elements_0_labelFalse,pages_16_elements_2_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_2_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_16_elements_2_elements_2_title,missing key,Shouted or yelled at him/her.,missing key,missing key,missing key,"Shouted, yelled at or screamed at him/her.",missing key,Sie haben es angebrüllt oder angeschrien.,missing key,missing key,missing key,missing key,missing key,Le ha gritado o vociferado al niño(a).
pages_6_elements_0_labelFalse,pages_16_elements_2_elements_3_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_2_elements_3_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_19_elements_0_elements_4_title,pages_16_elements_2_elements_3_title,"Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?","Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?",missing key,"Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?",missing key,"Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?","Glauben Sie, dass Sie Ihr Kind körperlich bestrafen müssen, um es richtig zu erziehen?","Glauben Sie, dass Sie Ihr Kind körperlich bestrafen müssen,Glauben Sie",missing key,missing key,¿Cree que para criar y educar bien a su niño(a) hay que castigarle físicamente?,missing key,missing key,¿Cree que para criar y educar bien a su niño(a) hay que castigarle físicamente?
,pages_16_elements_2_title,missing key,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the past month.,missing key,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,missing key,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,missing key,"Alle Erwachsenen verwenden bestimmte Methoden, um Kindern das richtige Verhalten beizubringen oder ein Verhaltensproblem anzugehen. Bitte lesen Sie die folgenden Methoden und wählen Sie aus,Alle Erwachsenen verwenden bestimmte Methoden",missing key,missing key,missing key,missing key,missing key,"Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>."
pages_6_elements_0_labelFalse,pages_16_elements_3_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_3_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_15_elements_1_elements_11_elements_3_title,pages_16_elements_3_elements_0_title,Give him/her a household chore,Give him/her a household chore,missing key,Give him/her a household chore,missing key,Give him/her a household chore,Sie erteilen ihm/ihr eine Hausarbeit,Sie erteilen ihm/ihr eine Hausarbeit,missing key,missing key,Asignarle una tarea doméstica,missing key,missing key,Asignarle una tarea doméstica
pages_6_elements_0_labelFalse,pages_16_elements_3_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_3_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_15_elements_1_elements_11_elements_4_title,pages_16_elements_3_elements_1_title,Ignore it,Ignore it,missing key,Ignore it,missing key,Ignore it,Sie ignorieren es,Sie ignorieren es,missing key,missing key,Ignorar lo sucedido,missing key,missing key,Ignorar lo sucedido
pages_6_elements_0_labelFalse,pages_16_elements_3_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_16_elements_3_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_15_elements_1_elements_11_elements_8_title,pages_16_elements_3_elements_2_title,Put him/her in a short time out,Put him/her in a short time out,missing key,Put him/her in a short time out,missing key,Put him/her in a short time out,Sie verordnen ihm/ihr eine kurze Auszeit,Sie verordnen ihm/ihr eine kurze Auszeit,missing key,missing key,Ponerle en tiempo de espera,missing key,missing key,Ponerle en tiempo de espera
pages_15_elements_1_elements_11_elements_9_title,pages_16_elements_3_elements_3_title,"Other, please specify","Other, please specify",missing key,"Other, please specify",missing key,"Other, please specify","Sonstiges, bitte angeben","Sonstiges, bitte angeben",missing key,missing key,"Otra acción, especifique cuál",missing key,missing key,"Otra acción, especifique cuál"
,pages_16_elements_3_title,missing key,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...",missing key,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...",missing key,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...",missing key,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...",missing key,missing key,missing key,missing key,missing key,"A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera,... ¿usted...?"
pages_1_elements_0_title,pages_1_elements_0_html,This section asks general information questions and questions about your child's health.,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.",missing key,missing key,missing key,missing key,"Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,missing key,missing key,"Por favor, indique su relación con el niño que participa en el proyecto.",missing key,missing key,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_0_title,pages_1_elements_0_title,This section asks general information questions and questions about your child's health.,This section asks general information questions and questions about your child's health.,missing key,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.",missing key,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,missing key,missing key,"Por favor, indique su relación con el niño que participa en el proyecto.",missing key,missing key,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_9_choices_0_text,pages_1_elements_10_choices_0_text,Excellent,Excellent,missing key,Excellent,missing key,Excellent,Hervorragend,Hervorragend,missing key,missing key,Excelente,missing key,missing key,Excelente
pages_1_elements_9_choices_1_text,pages_1_elements_10_choices_1_text,Very Good,Very Good,missing key,Very Good,missing key,Very Good,Sehr gut,Sehr gut,missing key,missing key,Muy buena,missing key,missing key,Muy buena
pages_1_elements_9_choices_2_text,pages_1_elements_10_choices_2_text,Good,Good,missing key,Good,missing key,Good,Gut,Gut,missing key,missing key,Buena,missing key,missing key,Buena
pages_1_elements_9_choices_3_text,pages_1_elements_10_choices_3_text,Fair,Fair,missing key,Fair,missing key,Fair,Mittelmäßig,Mittelmäßig,missing key,missing key,Regular,missing key,missing key,Regular
