item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
ToM-scene-18-instruct2,theory-of-mind,"While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","Mientras Catalina caminaba a la juguetería, Jorge cambió de opinión y le gritó a Catalina: ""En realidad, ¿me comprás unos crayones, por favor?"". Pero Catalina no escuchó a Jorge pedir los crayones.","Mientras Catalina caminaba a la juguetería, Jorge cambió de opinión y le gritó a Catalina: ""En realidad, ¿me compras unos colores, por favor?"". Pero Catalina no escuchó a Jorge pedir los colores.","Während Theresa zum Spielzeugladen geht, ändert Georg seine Meinung und ruft Theresa zu: „Kann ich bitte ein paar Buntstifte haben?“ Aber Theresa hat nicht gehört, wie Georg nach Buntstiften gefragt hat.",NO APPROVED TRANSLATION,,"Dum Kat iras al la ludilvendejo, Georgo ŝanĝas opinion kaj krias al Kat, ""Fakte, ĉu mi povas havi kelkajn kolorilojn?"" Sed Kat ne aŭdis Georgo peti kolorilojn.",NO APPROVED TRANSLATION,"Terwijl Katrien naar de speelgoedwinkel loopt, verandert Gert van gedachten en roept naar Katrien: ""Mag ik alsjeblieft wat waskrijtjes?"" Maar Katrien hoorde Gert niet om waskrijtjes vragen.",
ToM-scene-18-instruct3,theory-of-mind,"Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Catalina no escuchó a Jorge decir que quería unos crayones, así que Catalina piensa que Jorge quiere una pelota de básquet. Catalina va a la juguetería, pero el dueño le dice que, aunque no tienen pelotas de básquet, sí tienen libros de cuentos. Catalina le compra un libro de cuentos a Jorge.","Catalina no escuchó a Jorge decir que quería unos colores, así que Catalina piensa que Jorge quiere un balón de baloncesto. Catalina va a la juguetería, pero el dueño le dice aunque no tienen balones de baloncesto, sí tienen libros de cuentos. Catalina le compra un libro de cuentos a Jorge.","Theresa hat Georg nicht sagen hören, dass er Buntstifte haben möchte. Deshalb glaubt Theresa, dass Georg sich einen Basketball wünscht. Theresa geht in den Spielzeugladen, aber der Ladenbesitzer sagt, dass sie keine Basketbälle haben! Aber sie haben Märchenbücher, also kauft Theresa stattdessen ein Märchenbuch für Georg.",NO APPROVED TRANSLATION,,"Kat ne aŭdis Georgo diri, ke li volis kolorilojn. Do Kat pensas, ke Georgo volas basketbalon. Kat iras al la ludilvendejo, sed tiam la vendeja posedanto diras, ke ili ne havas basketbalojn! Sed ili havas pruntolibrojn, do Kat anstataŭe aĉetas pruntolibron por Georgo.",NO APPROVED TRANSLATION,"Katrien hoorde Gert niet zeggen dat hij waskrijtjes wilde. Dus Katrien denkt dat Gert een basketbal wil. Katrien gaat naar de speelgoedwinkel, maar dan zegt de winkelier dat ze geen basketbal hebben! Maar ze hebben wel verhalenboeken, dus Katrien koopt in plaats daarvan een verhalenboek voor Gert.",
ToM-scene-18-instruct4,theory-of-mind,"Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Catalina vuelve y le dice a Jorge: ""Lo siento mucho, no pude comprarte una pelota de básquet porque no las vendían en la tienda"".","Catalina vuelve y le dice a Jorge: ""Lo siento mucho, no pude comprarte un balón de baloncesto porque no los vendían en la tienda"".","Theresa kommt zurück und sagt zu Georg: „Es tut mir so leid, ich konnte dir keinen Basketball kaufen, weil der Laden keinen hatte.“",NO APPROVED TRANSLATION,,"Kat revenas kaj diras al Georgo, “Mi tre bedaŭras, mi ne povis aĉeti al vi basketbalon ĉar la vendejo ne havis iujn.”",NO APPROVED TRANSLATION,"Katrien komt terug en zegt tegen Gert: ""Het spijt me zo, maar ik kon geen basketbal voor je kopen, omdat de winkel er geen had.""",
ToM-scene-18-instruct5,theory-of-mind,George is very happy to play with his new storybook.,Jorge está emocionado por leer su nuevo libro de cuentos.,Jorge está emocionado por leer su nuevo libro de cuentos.,"Georg ist sehr glücklich, dass er ein neues Bilderbuch hat.",NO APPROVED TRANSLATION,,Georgo estas tre feliĉa por ludi kun sia nova pruntolibro.,NO APPROVED TRANSLATION,Gert is erg blij om met zijn nieuwe verhalenboek te spelen.,
ToM-scene-18-q1-false_belief,theory-of-mind,Which toy does Kat think George wants from the toy shop?,¿Cuál juguete cree Catalina que Jorge quiere de la juguetería?,¿Cuál juguete cree Catalina que Jorge quiere de la juguetería?,"Welches Spielzeug, glaubt Theresa, möchte Georg aus dem Spielzeugladen haben?",NO APPROVED TRANSLATION,,"Kiun ludilon Kat pensas, ke Georgo volas el la ludilvendejo?",NO APPROVED TRANSLATION,Welk speelgoed uit de speelgoedwinkel denkt Katrien dat Gert wil?,
ToM-scene-18-q2-false_belief,theory-of-mind,Does George know that Kat bought a storybook?,¿Jorge sabe que Catalina compró un libro de cuentos?,¿Jorge sabe que Catalina compró un libro de cuentos?,"Weiß Georg, dass Theresa ein Märchenbuch gekauft hat?",NO APPROVED TRANSLATION,,"Ĉu Georgo scias, ke Kat aĉetis pruntolibron?",NO APPROVED TRANSLATION,Weet Gert dat Katrien een verhalenboek heeft gekocht?,
ToM-scene-18-q3-false_belief,theory-of-mind,What does George think Kat bought at the toy shop?,¿Qué cree Jorge que Catalina compró en la juguetería?,¿Qué cree Jorge que Catalina compró en la juguetería?,"Was glaubt Georg, was Theresa im Spielzeugladen gekauft hat?",NO APPROVED TRANSLATION,,"Kion Georgo pensas, ke Kat aĉetis en la ludilvendejo?",NO APPROVED TRANSLATION,Wat denkt Gert dat Katrien in de speelgoedwinkel heeft gekocht?,
ToM-scene-18-q4-reality_check,theory-of-mind,What toy does George want?,¿Cuál juguete quiere Jorge?,¿Cuál juguete quiere Jorge?,Welches Spielzeug wünscht sich Georg?,NO APPROVED TRANSLATION,,Kiun ludilon Georgo volas?,NO APPROVED TRANSLATION,Welk speelgoed wil Gert?,
ToM-scene-18-q5-reality_check,theory-of-mind,What toy did Kat buy for George?,¿Cuál juguete le compró Catalina a Jorge?,¿Cuál juguete le compró Catalina a Jorge?,Welches Spielzeug hat Theresa für Georg gekauft?,NO APPROVED TRANSLATION,,Kian ludilon Kat aĉetis por Georgo?,NO APPROVED TRANSLATION,Welk speelgoed heeft Katrien voor Gert gekocht?,
ToM-scene-8-instruct4,theory-of-mind,"Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Veamos lo que hace. Oh, mirá, aquí está Alejandra agarrando este lápiz del estante arriba del mueble. Y ahora Miguel ve a Alejandra agarrando ese lápiz... ¡el lápiz que es de Miguel!","Veamos lo que hace. Oh, mira, aquí está Alejandra cogiendo este lápiz de encima del mueble. Y ahora Miguel ve a Alejandra cogiendo ese lápiz... ¡el lápiz que es de Miguel!","Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!",NO APPROVED TRANSLATION,,"Ni vidu, kion ŝi faras. Ho rigardu, jen Allie atingas ĉi tiun krajonon sur la supro de la breto. Kaj nun Mika vidas Allie etendi la manon por tiu krajono... la krajonon kiu apartenas al Mika!",NO APPROVED TRANSLATION,"Laten we eens kijken wat ze doet. Oh kijk, hier is Anouk die dit potlood op de plank wil pakken. En nu ziet Milan dat Anouk dat potlood wil pakken... het potlood dat van Milan is!",
ToM-scene-8-q2-emotion_reasoning,theory-of-mind,How do you think Mike feels about Allie reaching for that pencil?,¿Cómo creés que se siente Miguel cuando Alejandra intenta agarrar ese lápiz?,¿Cómo crees que se siente Miguel cuando Alejandra intenta coger ese lápiz?,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",NO APPROVED TRANSLATION,,Kiel vi pensas ke Mika sentas pri tio ke Allie etendas la manon por tiu krajono?,NO APPROVED TRANSLATION,Hoe denk je dat Milan zich voelt over dat Anouk dat potlood pakt?,
ToM-scene-8-q3-emotion_reasoning,theory-of-mind,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,¿Cómo creés que se sentiría Miguel si no hubiera visto a Alejandra intentar agarrar el lápiz?,¿Cómo crees que se sentiría Miguel si no hubiera visto a Alejandra intentar coger el lápiz?,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",NO APPROVED TRANSLATION,,Kiel vi pensas ke Mika sentus sin se li ne estus vidinta Allie etendi la manon por la krajono?,NO APPROVED TRANSLATION,Hoe denk je dat Milan zich zou hebben gevoeld als hij niet had gezien dat Anouk het potlood pakte?,
ToM-scene-8-q4-false_belief,theory-of-mind,Is Allie being mean and naughty for taking Mike’s pencil?,¿Alejandra está siendo mala y traviesa por agarrar el lápiz de Miguel?,¿Alejandra está siendo mala y traviesa por coger el lápiz de Miguel?,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",NO APPROVED TRANSLATION,,Ĉu Allie estas malafabla kaj maliceta ĉar ŝi prenas la krajonon de Mika?,NO APPROVED TRANSLATION,Is Anouk gemeen en ondeugend omdat ze Milans potlood heeft gepakt?,
ToM-scene-8-q5-false_belief,theory-of-mind,Should Allie get in trouble with the teacher for taking Mike’s pencil?,¿Debería Alejandra meterse en problemas con el profesor por agarrar el lápiz de Miguel?,¿Debería Alejandra meterse en problemas con el profesor por coger el lápiz de Miguel?,"Sollte Linda Ärger mit der Lehrerin bekommen, weil sie Tims Bleistift genommen hat?",NO APPROVED TRANSLATION,,Ĉu Allie devus ricevi riproĉon de la instruisto ĉar ŝi prenas la krajonon de Mika?,NO APPROVED TRANSLATION,Moet Anouk op haar kop krijgen van de leraar omdat ze Milans potlood heeft gepakt?,
ToM-scene-8-q6-reality_check,theory-of-mind,Can you help Mike find his pencil? Is it on top of the shelf or behind the backpack shelf?,¿Podés ayudarlo a Miguel a encontrar su lápiz? ¿Está encima del estante o detrás del mueble de mochilas?,¿Puedes ayudarle a Miguel a encontrar su lápiz? ¿Está encima de la repisa o detrás del mueble de maletas?,"Kannst du Tim helfen, seinen Bleistift zu finden? Liegt er oben auf dem Regal oder hinter dem Rucksackregal?",NO APPROVED TRANSLATION,,Ĉu vi povas helpi Mikon trovi lian krajonon? Ĉu ĝi estas sur la supro de la breto aŭ malantaŭ la tornistro-breto?,NO APPROVED TRANSLATION,Kun je Milan helpen zijn potlood te vinden? Is het bovenop de plank of achter de rugzakkenplank?,
ToM-scene-8-q7-reality_check,theory-of-mind,Can you help Allie find her pencil? Is it on top of the shelf or behind the backpack shelf?,¿Podés ayudarla a Alejandra a encontrar su lápiz? ¿Está encima del estante o detrás del mueble de mochilas?,¿Puedes ayudarle a Alejandra a encontrar su lápiz? ¿Está encima de la repisa o detrás del mueble de maletas?,"Kannst du Linda helfen, ihren Bleistift zu finden? Liegt er oben auf dem Regal oder hinter dem Rucksackregal?",NO APPROVED TRANSLATION,,Ĉu vi povas helpi Allie trovi ŝian krajonon? Ĉu ĝi estas sur la supro de la breto aŭ malantaŭ la tornistro-breto?,NO APPROVED TRANSLATION,Kun je Anouk helpen haar potlood te vinden? Is het bovenop de plank of achter de rugzakkenplank?,
ToM-scene-9-instruct1,theory-of-mind,"This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.","Este es Marco. Marco está jugando hoy un juego un poco loco en el que no dice ninguna palabra en todo el día. En vez de hablar, está haciendo dibujos. Marco está en la biblioteca, decidiendo qué libro le gustaría leer. La mamá le muestra a Marco dos libros: uno sobre tazas y otro sobre montañas.","Este es Marco. Marco está jugando hoy un juego un poco loco en el que no dice ninguna palabra en todo el día. En vez de hablar, está haciendo dibujos. Marco está en la biblioteca, decidiendo qué libro le gustaría leer. La mamá le muestra a Marco dos libros: uno sobre tazas y otro sobre montañas.","Das ist Mark. Mark spielt heute ein wirklich albernes Spiel und sagt den ganzen Tag lang kein einziges Wort. Stattdessen malt Mark Bilder. Mark ist in der Bibliothek und überlegt, welches Buch er gerne lesen möchte. Mama zeigt Mark zwei Bücher, ein Buch über Tassen und ein Buch über Hügel.",NO APPROVED TRANSLATION,,"Jen Marko. Marko ludas tre stultan ludon hodiaŭ kaj ne diras ajnan vorton la tutan tagon. Anstataŭe, Marko desegnas bildojn. Marko estas en la biblioteko, decidante kiun libron li ŝatus legi. Panjo montras al Marko du librojn, libron pri tasoj kaj libron pri montetoj.",NO APPROVED TRANSLATION,"Dit is Mark. Mark speelt vandaag een heel lollig spelletje en zegt de hele dag geen woord. In plaats daarvan tekent Mark plaatjes. Mark is in de bibliotheek aan het kiezen welk boek hij wil lezen. Moeder laat Mark twee boeken zien, een boek over kopjes en een boek over heuvels.",
ToM-scene-9-instruct2,theory-of-mind,"Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!","Marco dibuja una colina para decirle a la mamá que quiere leer el libro sobre montañas. Pero cuando Marco le da el dibujo a mamá, ella lo mira al revés, ¡y entonces parece una taza!","Marco dibuja una colina para decirle a la mamá que quiere leer el libro sobre montañas. Pero cuando Marco le da el dibujo a mamá, ella lo mira al revés, ¡y entonces parece una taza!","Mark malt ein Bild von einem Hügel, um Mama zu sagen, dass er das Buch über Hügel lesen möchte. Aber als Mark Mama das Bild gibt, hält sie es verkehrt herum so dass es wie eine Tasse aussieht!",NO APPROVED TRANSLATION,,"Marko desegnas bildon de monteto, por montri al Panjo ke li volas legi la libron pri montetoj. Sed kiam Marko donas la bildon al Panjo, ŝi tenas ĝin renverse, do ĝi aspektas kiel taso!",NO APPROVED TRANSLATION,"Mark tekent een plaatje van een heuvel, om mama te vertellen dat hij het boek over heuvels wil lezen. Maar als Mark mama het plaatje geeft, houdt ze het ondersteboven, waardoor het op een kopje lijkt!",
ToM-scene-9-q1-reality_check,theory-of-mind,What did Mark mean to draw?,¿Qué quería dibujar Marco?,¿Qué quería dibujar Marco?,Was wollte Mark eigentlich zeichnen?,NO APPROVED TRANSLATION,,Kion Marko volis desegni?,NO APPROVED TRANSLATION,Wat wilde Mark tekenen?,
ToM-scene-9-q2-false_belief,theory-of-mind,"When Mom sees the picture, what book will she give Mark?","Cuando la mamá vea el dibujo, ¿qué libro le dará a Marco?","Cuando la mamá vea el dibujo, ¿qué libro le dará a Marco?","Wenn Mama das Bild sieht, welches Buch wird sie Mark geben?",NO APPROVED TRANSLATION,,"Kiam Panjo vidas la bildon, kiun libron ŝi donos al Marko?",NO APPROVED TRANSLATION,Welk boek zal mama aan Mark geven als ze het plaatje ziet?,
ToM-scene-9-q3-reality_check,theory-of-mind,What book does Mark really want?,¿Qué libro quiere Marco en realidad?,¿Qué libro quiere Marco en realidad?,Welches Buch will Mark wirklich?,NO APPROVED TRANSLATION,,Kiun libron Marko vere volas?,NO APPROVED TRANSLATION,Welk boek wil Mark echt?,
ToM-scene-9-q4-emotion_reasoning,theory-of-mind,"Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?","Mirá, la mamá se dio cuenta de su error y le dio a Marco el libro que él realmente quería. ¿Cómo creés que se siente Marco al recibir el libro que quería?","Mira, la mamá se ha dado cuenta de su error y le ha dado a Marco el libro que él realmente quería. ¿Cómo crees que se siente Marco al recibir el libro que quería?","Sieh mal, Mama hat den Fehler erkannt und Mark das Buch gegeben, das er wirklich wollte! Was glaubst du, wie sich Mark fühlt, weil er das Buch bekommen hat, das er wollte?",NO APPROVED TRANSLATION,,"Rigardu, Patrino rimarkis sian eraron kaj donis al Mark la libron, kiun li vere volis! Kiel vi pensas, Mark sentas pri ricevi la libron, kiun li volis?",NO APPROVED TRANSLATION,"Kijk, mama zag haar fout in en gaf Mark het boek dat hij echt wilde! Hoe denk je dat Mark zich voelt over het krijgen van het boek dat hij wilde?",
